[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:42] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:43] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:44] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:44] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:44] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:36:44] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:37:03] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:37:33] [INFO ] Report: Occupancy=50.0%, Revenue=Rs.0.00
[2026-03-30 22:37:36] [INFO ] Room added: R301
[2026-03-30 22:38:03] [INFO ] Report: Occupancy=33.3%, Revenue=Rs.0.00
[2026-03-30 22:38:14] [INFO ] Guest registered: G2
[2026-03-30 22:38:33] [INFO ] Report: Occupancy=33.3%, Revenue=Rs.0.00
[2026-03-30 22:39:03] [INFO ] Report: Occupancy=33.3%, Revenue=Rs.0.00
[2026-03-30 22:39:33] [INFO ] Report: Occupancy=33.3%, Revenue=Rs.0.00
[2026-03-30 22:39:41] [INFO ] Booked: Room=R301 Guest=G2 BookingID=BK562B9A
[2026-03-30 22:39:50] [INFO ] Check-in complete: Booking=BK44983D
[2026-03-30 22:39:59] [INFO ] Checkout: Booking=BK44983D Amount=Rs.1620.00
[2026-03-30 22:40:03] [INFO ] Report: Occupancy=33.3%, Revenue=Rs.1620.00
[2026-03-30 22:40:08] [INFO ] Checkout: Booking=BK562B9A Amount=Rs.9794.00
[2026-03-30 22:40:09] [INFO ] AutoSave completed successfully.
[2026-03-30 22:40:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-30 22:41:03] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-30 22:41:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
<<<<<<< HEAD
[2026-03-30 22:42:03] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-30 22:42:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-30 22:43:03] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-30 22:43:38] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:30] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:30] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:30] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:30] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:30] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:30] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:30] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:30] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:30] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:30] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:30] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:31] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:32] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:32] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:32] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:32] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:32] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:32] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:32] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:32] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:32] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:32] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:32] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:33] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:34] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
[2026-03-31 23:19:35] [INFO ] Report: Occupancy=0.0%, Revenue=Rs.11414.00
